collectedAt,content_data_employeeCount,content_entityName,recordType,schemaVersion,source_name,source_url
2026-08-11T16:20:57.710915,3,Wild Moose,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/wild-moose
2026-08-11T16:20:57.710920,2,Maxi,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/maxi
2026-08-11T16:20:57.710925,2,rex.fit,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/rex-fit
2026-08-11T16:20:57.710931,2,Linum,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/linum
2026-08-11T16:20:57.710936,2,PoplarML,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/poplarml
2026-08-11T16:20:57.710941,6,Sherloq,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/sherloq
2026-08-11T16:20:57.710946,40,Middleware,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/middleware
2026-08-11T16:20:57.710952,3,Adri AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/adri-ai
2026-08-11T16:20:57.710957,1,Iliad,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/iliad
2026-08-11T16:20:57.710962,3,Velos,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/velos
2026-08-11T16:20:57.710967,10,Reflex,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/reflex
2026-08-11T16:20:57.710973,17,Metal,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/metal
2026-08-11T16:20:57.710978,25,Assembly,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/assembly-com
2026-08-11T16:20:57.710983,7,Benchmark,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/benchmark
2026-08-11T16:20:57.710988,5,Avina,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/avina
2026-08-11T16:20:57.710994,2,co.dev,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/co-dev
2026-08-11T16:20:57.710999,8,Berry,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/berry
2026-08-11T16:20:57.711005,4,Pier,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/pier
2026-08-11T16:20:57.711010,2,Epsilon,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/epsilon
2026-08-11T16:20:57.711019,3,Hindsight,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/hindsight
2026-08-11T16:20:57.711024,1,Supadock,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/supadock
2026-08-11T16:20:57.711030,10,Atmo,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/atmo
2026-08-11T16:20:57.711035,3,FactIQ,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/factiq
2026-08-11T16:20:57.711041,4,Synvivia,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/synvivia
2026-08-11T16:20:57.711046,4,Frigade,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/frigade
2026-08-11T16:20:57.711051,11,1stCollab,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/1stcollab
2026-08-11T16:20:57.711057,7,Glass Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/glass-health
